,g,r,z,names
0,0.139091575481,0.138321619504,0.131476947437,k
1,7800.21956124,7800.21987834,7800.21951786,tc
2,12.30913594,11.691467355,12.183322699,a
3,1.557999971,1.54271470433,1.56703317872,i
4,1.04078154289,0.573623819468,0.437250724439,u1
5,-0.594422738379,-0.0273727252963,0.0409970580654,u2
6,-6.31099750644,-6.31635644389,-6.2263459453,ls
7,-0.00122807142227,-0.000616960957661,0.000314128999617,k0
8,-0.000390144826347,5.58016285949e-05,0.000803857162542,k1
9,-0.000524408282073,0.000188799233438,0.000274405717265,k2
10,-59.7472825856,-92.7104625556,-74.8213699882,k3
11,0.00766117066039,0.0118864938388,0.00959212234031,k4
